3,23,28,46,62
20,31,39,46,49
1,28,61,62,63
5,28,62,65,70
15,23,53,65,70
3,45,49,61,69
4,24,46,61,70
20,22,39,54,60
27,28,32,41,69
2,22,29,31,34
39,45,52,56,59
8,16,32,48,61
1,2,11,52,64
31,32,43,63,68
23,30,40,43,66
15,30,51,62,67
8,10,41,54,68
2,7,25,35,44
7,18,29,32,45
3,20,33,34,41
1,6,13,18,49
14,16,19,38,57
1,31,32,47,56
11,26,44,45,46
1,3,12,22,42
2,13,15,21,62
9,28,30,54,60
12,15,35,64,69
1,32,40,49,63
1,2,4,19,29
1,14,30,44,62
40,41,61,66,67
21,22,39,59,68
1,17,28,56,70
2,10,46,50,56
13,35,45,49,68
2,32,47,49,68
17,25,29,39,60
2,6,11,27,44
11,13,28,65,70
1,11,37,47,51
1,3,5,8,70
14,30,33,44,56
22,33,41,48,52
5,24,52,62,66
2,11,55,58,67
11,14,51,64,68
16,17,21,36,48
9,26,53,64,66
21,34,44,49,61
14,38,40,53,70
8,15,39,64,67
4,5,10,12,18
2,7,20,55,70
2,29,38,63,66
3,19,31,32,48
1,15,18,32,45
12,34,44,47,65
8,9,32,42,59
5,13,31,43,53
16,33,51,54,67
4,29,39,42,62
11,28,31,46,59
7,25,43,56,59
4,8,23,53,59
14,38,51,64,70
1,13,26,33,52
6,30,58,60,61
7,17,18,46,66
1,4,26,35,39
24,28,42,60,64
10,17,21,38,43
7,11,13,19,58
17,19,23,24,43
14,38,48,53,58
5,12,15,46,49
28,34,41,46,47
14,17,25,48,58
1,4,14,17,40
29,41,42,49,57
10,16,27,38,43
2,6,30,31,55
3,17,23,49,66
3,11,23,29,59
17,18,33,46,60
16,29,31,65,67
28,30,39,59,70
1,42,47,64,70
4,10,18,28,62
10,12,20,38,41
1,20,30,33,42
28,37,39,42,58
4,12,36,44,57
8,23,24,25,27
6,37,46,60,70
14,15,37,42,67
16,22,40,41,59
10,17,47,51,61
16,36,54,61,64
3,7,22,27,50
3,26,55,58,70
1,14,21,22,28
